ID,PopularFoodDislike,DressColor,Floaters,Animal,ChocolateOrVanilla,RightLeftHanded,RotaryPhone,Activities,ThermostatTemperature,NumberFrom1to100,MovieStar,CanRollTongue,CellPhoneType,TasteDislike,FavoriteNumberFrom1to5,FollowSport,FavoriteTeam,TriedFood,GrossedOutByFoodAnswer,ThrowingOutSocks,FavouriteCandy,Activity_Basketball,Activity_IceSkate,Activity_Ski,Activity_Stilts,Activity_HorseRiding,Activity_StickShift,Activity_Rubiks,Activity_Juggle,Activity_Unicycle,Dislike_CarbonatedDrinks,Dislike_Eggs,Dislike_Cilantro,Dislike_ChocolateIceCream,Dislike_Coffee,Dislike_Tomatoes,Dislike_Yogurt,Follow_Football,Follow_Basketball,Follow_Cricket,Follow_Soccer,Follow_Baseball,Tried_Snails,Tried_FrogLegs,Tried_Natto,Tried_Aligator,Tried_ThousandYearOldEgg,Tried_Durian
5131,rice,Blue and black,I'm not sure what things you mean,cat,Vanilla,Right-handed,"Yes, and I have","Solve a Rubik's cube, Ice skate",Cooler,68,idk,Yes,iPhone,Carbonated drinks,3,None,,None,No,"I did the throwing out thing, but didn't talk to everyone about it",I don't want to vote,,,,,,,,,,,,,,,,,,,,,,,,,,,
9894,Burger,What dress?,"Yes, occasionally",Lion ,Chocolate,Right-handed,"Yes, I believe so","Dunk a basketball, Ice skate, Ski, Walk on stilts",Cooler,4,Leonardo DiCaprio,Yes,iPhone,Carbonated drinks,4,"American Football, Basketball, Cricket",,None,"Yes, one or two",No,Chocolate M&Ms,0,0,0,0,,,,,,0,,,,,,,1,1,1,,,,,,,,
7508,pickle,White and gold,"Yes, occasionally",Dog,Vanilla,Ambidextrous,"Yes, I believe so","Ride a horse, Drive a stick shift",Cooler,56,Jacky Chen,What?,iPhone,None,2,American Football,,"Snails, Frog legs, Natto, Aligator, Thousand-year-old eggs","Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it",Twix,,,,,0,0,,,,,,,,,,,1,,,,,0,0,0,0,0,
3569,pizza,White and gold,I'm not sure what things you mean,wolf,Chocolate,Right-handed,"Yes, and I have","Solve a Rubik's cube, Ice skate, Ski, Juggle",Cooler,8,Daniel Craig,Yes,iPhone,None,5,"American Football, Soccer, Basketball",,"Snails, Durian",No,No,Snicker,,0,0,,,,0,0,,,,,,,,,1,1,,1,,0,,,,,0
9562,Sushi,Blue and black,I'm not sure what things you mean,Tiger,Chocolate,Right-handed,Not 100% sure,"Ride a horse, Ice skate, Ski",Cooler,89,Blake Lively,Yes,iPhone,"Eggs, Cilantro",2,American Football,Eagles,None,"Yes, most of them",No,Twix,,0,0,,0,,,,,,0,0,,,,,1,,,,,,,,,,
7107,Pizza,Blue and black,"Yes, constantly",Fish ,Chocolate,Right-handed,"Yes, and I have",Dunk a basketball,Cooler,9,Brad Pitt ,Yes,iPhone,Chocolate Ice-cream,4,Soccer,Denver Nuggets ,Snails,"Yes, most of them",Yes,Reese PB Cup,0,,,,,,,,,,,,0,,,,,,,1,,0,,,,,
6007,Banana,Blue and black,"Yes, occasionally",Lion,Vanilla,Right-handed,Not 100% sure,Drive a stick shift,Warmer,72,Tom Cruise,Yes,iPhone,Coffee,3,"American Football, Soccer, Basketball",Los Angeles Lakers,Aligator,"Yes, one or two",No,Reese PB Cup,,,,,,0,,,,,,,,0,,,1,1,,1,,,,,0,,
7086,Kimchi,Blue and black,"Yes, occasionally",Goose,Chocolate,Right-handed,"Yes, I believe so",Ski,Cooler,67,Leonardo Di Carpio,Yes,iPhone,Carbonated drinks,4,None,,Frog legs,"Yes, one or two","No, but I'm totally doing that now",Carambar,,,0,,,,,,,0,,,,,,,,,,,,,0,,,,
2618,pizza,White and gold,"Yes, occasionally",Cat,Vanilla,Right-handed,Not 100% sure,Ride a horse,Cooler,12,Bobby Shmurda,Yes,iPhone,None,4,American Football,,"Snails, Frog legs",No,No,Chocolate M&Ms,,,,,0,,,,,,,,,,,,1,,,,,0,0,,,,
6968,Soup,White and gold,"Yes, constantly",Dog,Chocolate,Right-handed,Not 100% sure,"Ice skate, Ski",Cooler,7,Scarlett Johansson,Yes,iPhone,"Eggs, Coffee",3,None,,None,"Yes, most of them","No, but I'm totally doing that now",Alfajores,,0,0,,,,,,,,0,,,0,,,,,,,,,,,,,
6593,Potatos,Blue and black,"Yes, occasionally",Dog,Chocolate,Right-handed,Not 100% sure,None,Warmer,68,"Dwayne ""The Rock"" Johnson",No,iPhone,"Cilantro, Tomatoes, Yogurt",1,None,,None,No,No,Chocolate M&Ms,,,,,,,,,,,,0,,,0,0,,,,,,,,,,,
6673,pizza,Blue and black,"Yes, occasionally",dog,Vanilla,Right-handed,Not 100% sure,"Drive a stick shift, Solve a Rubik's cube, Ice skate",Warmer,45,chris pine,No,iPhone,"Cilantro, Yogurt",3,"American Football, Soccer, Basketball",Manchester City F.C.,Durian,No,No,Mars,,0,,,,0,0,,,,,0,,,,0,1,1,,1,,,,,,,0
8410,Peppers,I don't remember,"Yes, occasionally",Parrot,Chocolate,Ambidextrous,"Yes, I believe so",Ski,Cooler,33,Nicholas Cage,Yes,iPhone,None,2,American Football,,Natto,"Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it",Twix,,,0,,,,,,,,,,,,,,1,,,,,,,0,,,
7868,cinnamon ,Blue and black,"Yes, occasionally",cat,Chocolate,Right-handed,Not 100% sure,"Ride a horse, Ice skate, Ski",Cooler,21,Jonny Depp ,Yes,iPhone,Carbonated drinks,3,Basketball,,"Frog legs, Aligator, Durian","Yes, one or two",Yes,Twix,,0,0,,0,,,,,0,,,,,,,,1,,,,,0,,0,,0
1810,Banana,A color combination not listed here,"Yes, constantly",Shiba Inu,Vanilla,Ambidextrous,"Yes, and I have","Dunk a basketball, Ride a horse, Drive a stick shift, Solve a Rubik's cube, Ice skate, Ski, Juggle, Walk on stilts, Unicycle",Cooler,77,Don Cheedle,No,iPhone,"Eggs, Chocolate Ice-cream, Carbonated drinks, Cilantro, Tomatoes, Yogurt",5,"American Football, Soccer, Basketball, Baseball, Cricket",Denver Nuggets,"Snails, Frog legs, Natto, Aligator, Durian, Thousand-year-old eggs",No,"No, but I'm totally doing that now",White Rabbit,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,1,1,1,0,0,0,0,0,0
1835,mushrooms,White and gold,"Yes, occasionally",donkey,Chocolate,Right-handed,"Yes, I believe so",Ice skate,Cooler,33,Keanu Reeves,Yes,iPhone,None,3,"American Football, Soccer, Basketball, Baseball, Cricket",Liverpool,None,"Yes, most of them",No,Twix,,0,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,
1429,chocolate cake,White and gold,I'm not sure what things you mean,dog,Vanilla,Right-handed,Not 100% sure,Ride a horse,Warmer,88,Angelina Jolie,Yes,iPhone,Chocolate Ice-cream,5,None,,None,"Yes, one or two","I did the throwing out thing, but didn't talk to everyone about it",Twix,,,,,0,,,,,,,,0,,,,,,,,,,,,,,
5818,Banana,White and gold,"Yes, constantly",Dog,Chocolate,Right-handed,Not 100% sure,"Ice skate, Ski",Cooler,1,Bob Odenkirk,No,iPhone,None,5,None,,None,"Yes, most of them",No,Snicker,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2875,Curry,Blue and black,"Yes, occasionally",Cat,Vanilla,Right-handed,"Yes, and I have","Ride a horse, Ice skate",Cooler,99,Johnny Depp,No,iPhone,Chocolate Ice-cream,4,None,,"Snails, Durian, Thousand-year-old eggs",No,No,Snicker,,0,,,0,,,,,,,,0,,,,,,,,,0,,,,0,0
8731,Snickers,What dress?,I'm not sure what things you mean,Panda,Chocolate,Right-handed,A what?,Ice skate,Warmer,24,Kim Soo-hyun ,What?,iPhone,Carbonated drinks,5,None,,None,"Yes, most of them",No,Reese PB Cup,,0,,,,,,,,0,,,,,,,,,,,,,,,,,
2545,celery,Blue and black,I'm not sure what things you mean,cat,Vanilla,Right-handed,Not 100% sure,Dunk a basketball,Cooler,57,Timothee Chalamet,No,iPhone,Carbonated drinks,3,American Football,Kansas City Chiefs,Durian,"Yes, most of them",No,Reese PB Cup,0,,,,,,,,,0,,,,,,,1,,,,,,,,,,0
4665,I like all foods. I will literally eat anything as long as it is culturally appropriate.,White and gold,"Yes, occasionally",Dog,Chocolate,Right-handed,"Yes, I believe so","Dunk a basketball, Drive a stick shift, Ski",Warmer,2,Christian Bale,What?,iPhone,None,2,"American Football, Soccer, Basketball, Baseball",New York Knicks,"Snails, Frog legs, Thousand-year-old eggs",No,"I did the throwing out thing, but didn't talk to everyone about it",Twix,0,,0,,,0,,,,,,,,,,,1,1,,1,1,0,0,,,0,
7844,pickles,White and gold,"Yes, occasionally",tiger,Vanilla,Left-handed,Not 100% sure,"Solve a Rubik's cube, Ice skate",Warmer,77,Tom Cruise,No,Android,Eggs,4,None,,None,"Yes, most of them",No,Twix,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,
8629,Bacon,I don't remember,No,Gorilla,Chocolate,Right-handed,Not 100% sure,None,Warmer,50,John Cena,Yes,Android,"Carbonated drinks, Tomatoes",5,None,,None,,,,,,,,,,,,,0,,,,,0,,,,,,,,,,,,
8547,Liver,White and gold,"Yes, constantly",Cat,Vanilla,Right-handed,Not 100% sure,Ride a horse,Cooler,43,,Yes,iPhone,Eggs,3,"American Football, Soccer, Basketball, Baseball",Arsenal,None,No,No,Peanuts M&Ms,,,,,0,,,,,,0,,,,,,1,1,,1,1,,,,,,
2475,Watermelon,Blue and black,"Yes, occasionally",Dog,Vanilla,Right-handed,Not 100% sure,None,Warmer,50,Sharon Stone,No,Android,None,5,None,,Aligator,"Yes, one or two",No,I don't want to vote,,,,,,,,,,,,,,,,,,,,,,,,,0,,
