HEIGHT,WEIGHT ,AGE,PERFORMANCE
151.765,47.8256065,63,8
139.7,36.4858065,63,10
136.525,31.864838,65,4
156.845,53.0419145,41,9
145.415,41.276872,51,4
163.83,62.992589,35,3
149.225,38.2434755,32,4
168.91,55.4799715,27,4
147.955,34.869885,19,10
165.1,54.487739,54,5
154.305,49.89512,47,4
151.13,41.220173,66,5
144.78,36.0322145,73,9
149.9,47.7,20,10
150.495,33.849303,65.3,7
163.195,48.5626935,36,5
157.48,42.3258035,44,6
143.9418,38.3568735,31,3
121.92,19.617854,12,6
105.41,13.947954,8,9
86.36,10.489315,6.5,7
161.29,48.987936,39,3
156.21,42.7226965,29,10
129.54,23.586784,13,3
109.22,15.989118,7,8
146.4,35.493574,56,6
148.59,37.9032815,45,3
147.32,35.4652245,19,7
137.16,27.328918,17,8
125.73,22.6796,16,3
114.3,17.860185,11,6
147.955,40.312989,29,4
161.925,55.111428,30,7
146.05,37.5063885,24,10
146.05,38.498621,35,3
152.7048,46.606578,33,8
142.875,38.838815,27,8
142.875,35.5786225,32,5
147.955,47.400364,36,3
160.655,47.8823055,24,8
151.765,49.4131785,30,5
162.8648,49.384829,24,7
171.45,56.5572525,52,7
147.32,39.12231,42,8
147.955,49.89512,19,5
144.78,28.803092,17,9
121.92,20.41164,8,5
128.905,23.359988,12,7
97.79,13.267566,5,3
154.305,41.2485225,55,6
143.51,38.55532,43,9
146.7,42.4,20,8
157.48,44.6504625,18,10
127,22.0105518,13,9
110.49,15.422128,9,5
97.79,12.757275,5,3
165.735,58.5984165,42,10
152.4,46.719976,44,9
141.605,44.22522,60,10
158.8,50.9,20,6
155.575,54.317642,37,9
164.465,45.8978405,50,6
151.765,48.024053,50,10
161.29,52.219779,31,6
154.305,47.62716,25,6
145.415,45.642695,23,10
145.415,42.410852,52,7
152.4,36.4858065,79.3,6
163.83,55.9335635,35,4
144.145,37.194544,27,10
129.54,24.550667,13,9
129.54,25.627948,14,6
153.67,48.307548,38,8
142.875,37.3362915,39,9
146.05,29.596878,12,3
167.005,47.173568,30,6
158.4198,47.286966,24,10
91.44,12.927372,0.6,10
165.735,57.549485,51,5
149.86,37.931631,46,5
147.955,41.900561,17,3
137.795,27.5840635,12,6
154.94,47.2019175,22,3
160.9598,43.204638,29,6
161.925,50.2636635,38,4
147.955,39.3774555,30,3
