"","ride_id","rideable_type","started_at","ended_at","start_station_name","start_station_id","end_station_name","end_station_id","start_lat","start_lng","end_lat","end_lng","member_casual"
"382","FE9DCC1B48B6FC29","docked_bike","2021-05-01 03:49:57","2021-05-01 03:58:58","Willis Ave & Bruckner Blvd",7691.05,"Adam Clayton Powell Blvd & W 132 St",7814.01,40.805701,-73.925177,40.813539,-73.94521,"casual"
"476","EC2B2DD1019988CC","docked_bike","2021-05-01 08:10:37","2021-05-01 08:17:20","4 Ave & E 12 St",5788.15,"W 21 St & 6 Ave",6140.05,40.732647,-73.99011,40.74173969,-73.99415556,"member"
"324","0DAB0702773E13D7","docked_bike","2021-05-01 09:35:37","2021-05-01 09:38:07","Franklin St & Dupont St",5944.01,"India St Pier",5794.05,40.73564,-73.95866,40.7317347858835,-73.9612390102593,"member"
"271","1127C6CF5A8F7326","docked_bike","2021-05-01 14:09:16","2021-05-01 14:47:46","28 St & 41 Ave",6462.19,"5 Ave & E 93 St",7372.1,40.751047,-73.93797,40.7857851,-73.957481,"casual"
"115","C16A20472BC0097B","docked_bike","2021-05-01 14:50:20","2021-05-01 15:01:39","E 58 St & Madison Ave",6839.04,"W 53 St & 10 Ave",6890.01,40.763025,-73.972095,40.76669671,-73.99061728,"member"
"336","A7FADE504F168DCE","docked_bike","2021-05-01 15:52:47","2021-05-01 16:07:34","Mercer St & Bleecker St",5679.05,"S 4 St & Rodney St",5156.05,40.727063,-73.996621,40.70934,-73.95608,"casual"
"383","22831415FA588BBD","docked_bike","2021-05-01 16:08:25","2021-05-01 16:25:49","Thompson St & Bleecker St",5721.07,"Mercer St & Bleecker St",5679.05,40.7284,-73.999687,40.7270636334831,-73.9966213703155,"casual"
"409","28BFBCE54E3F46A3","docked_bike","2021-05-01 17:13:31","2021-05-01 17:32:37","Fulton St & Clermont Ave",4386.05,"24 St & 5 Ave",3555.04,40.684157,-73.969222,40.659555,-73.995068,"member"
"193","68406CCC12414FBC","docked_bike","2021-05-01 17:35:39","2021-05-01 18:13:43","Clinton St & Centre St",4045.01,"Central Ave & Melrose St",4832.07,40.67434,-74.001946,40.70112,-73.93039,"member"
"265","9230D6CA4EFB1C8A","docked_bike","2021-05-01 17:45:06","2021-05-01 18:30:22","5 Ave & E 93 St",7372.1,"5 Ave & E 93 St",7372.1,40.785785,-73.957481,40.7857851,-73.957481,"member"
"274","D7C0128E441ADF42","docked_bike","2021-05-01 17:57:18","2021-05-01 18:18:26","Broad St & Bridge St",4962.08,"3 Ave & Schermerhorn St",4437.01,40.703651,-74.011677,40.68683208,-73.9796772,"casual"
"312","FF622A1917A3C04D","docked_bike","2021-05-01 20:52:18","2021-05-01 21:06:01","W Broadway & Spring St",5569.06,"Cleveland Pl & Spring St",5492.05,40.724946,-74.001658,40.722103786686,-73.997249007225,"member"
"27","E184343E323838A7","docked_bike","2021-05-02 00:06:30","2021-05-02 00:09:34","45 St & 4 Ave",3275.03,"46 St & 7 Ave",3117.05,40.649145,-74.009486,40.644743,-74.003754,"member"
"499","7AC943635BE050CC","docked_bike","2021-05-02 11:03:50","2021-05-02 11:06:23","W 49 St & 8 Ave",6747.06,"W 54 St & 9 Ave",6920.03,40.762272,-73.987882,40.76584941,-73.98690506,"member"
"202","239658BE82810C30","docked_bike","2021-05-02 11:08:33","2021-05-02 11:23:20","E 116 St & 2 Ave",7563.06,"Wards Meadow Comfort Station",7327.01,40.796879,-73.937261,40.78294,-73.93077,"member"
"435","94626F52C9D86386","docked_bike","2021-05-02 11:57:14","2021-05-02 12:00:46","E 12 St & 3 Ave",5788.12,"E 11 St & 1 Ave",5746.14,40.732232,-73.988899,40.72953837,-73.98426726,"member"
"22","C3F0048D22554FFF","docked_bike","2021-05-02 14:41:00","2021-05-02 14:44:35","E 16 St & Irving Pl",5938.11,"E 19 St & 3 Ave",5938.01,40.735367,-73.987973,40.73624527,-73.98473765,"member"
"98","869FA3EA897B4F5F","docked_bike","2021-05-02 15:21:40","2021-05-02 15:56:00","Vesey Pl & River Terrace",5297.02,"7 Ave & Central Park South",6912.01,40.715337,-74.016583,40.7667405590595,-73.9790689945221,"member"
"259","88576CA8F4AC52A3","docked_bike","2021-05-02 16:46:29","2021-05-02 16:53:19","W 22 St & 8 Ave",6224.03,"Broadway & W 25 St",6173.08,40.744751,-73.999153,40.7428687731211,-73.9891862869263,"casual"
"197","6CA803E4D4E91DCB","docked_bike","2021-05-02 16:47:09","2021-05-02 17:12:59","Fairview Ave & Linden St",5066.03,"Marcy Ave & Lafayette Ave",4476.03,40.70694,-73.90632,40.6900815,-73.947915,"member"
"123","69B0A97F98B44744","docked_bike","2021-05-02 21:03:25","2021-05-02 21:14:28","Lafayette St & E 8 St",5788.13,"W 20 St & 10 Ave",6306.01,40.730206,-73.991026,40.745686,-74.005141,"casual"
"447","874FEB85A2E34DD8","docked_bike","2021-05-03 08:16:31","2021-05-03 08:23:31","Edgecombe Ave & W 141 St",7915.11,"St. Nicholas Ave & W 126 St",7756.1,40.820681,-73.945144,40.8114323,-73.9518776,"member"
"126","E95422CF39034DCA","docked_bike","2021-05-03 08:20:35","2021-05-03 08:27:03","Lenox Ave & W 111 St",7602.05,"Central Park W & W 97 St",7538.18,40.798785,-73.9523,40.7924951949511,-73.9641706646307,"member"
"396","4A92C6EBFF94FBB6","docked_bike","2021-05-03 08:47:02","2021-05-03 08:52:26","Broadway & W 60 St",6948.11,"West End Ave & W 60 St",7059.08,40.769155,-73.981918,40.77237,-73.99005,"member"
"450","A2E453707E89DF09","docked_bike","2021-05-03 09:01:47","2021-05-03 09:06:10","E 6 St & Avenue D",5506.14,"E 11 St & Avenue B",5659.11,40.72228,-73.976687,40.7274642069239,-73.9795041829348,"member"
